id,label
136_THE_INGRATITUDE_AND_INJUSTICE_OF_MEN_TOWARDS_FORTUNE,136_THE_INGRATITUDE_AND_INJUSTICE_OF_MEN_TOWARDS_FORTUNE
peasants,peasants
Dove,Dove
Madman,Madman
calf,calf
Hodge,Hodge
sheep-dogs,sheep-dogs
127_THE_MAN_BADLY_MARRIED,127_THE_MAN_BADLY_MARRIED
115_THE_ASS_AND_HIS_MASTERS,115_THE_ASS_AND_HIS_MASTERS
The Athlete,The Athlete
139_THE_COBBLER_AND_THE_BANKER,139_THE_COBBLER_AND_THE_BANKER
69_THE_FLY_AND_THE_ANT,69_THE_FLY_AND_THE_ANT
206_THE_OWL_AND_THE_MICE,206_THE_OWL_AND_THE_MICE
225_THE_HAWK_THE_KING_AND_THE_FALCON,225_THE_HAWK_THE_KING_AND_THE_FALCON
Terriers,Terriers
75_THE_LITTLE_FISH_AND_THE_FISHERMAN,75_THE_LITTLE_FISH_AND_THE_FISHERMAN
Pie,Pie
Beldam,Beldam
122_THE_YOUNG_WIDOW,122_THE_YOUNG_WIDOW
star-king,star-king
Monarch,Monarch
56_THE_EAGLE_THE_WILD_SOW_AND_THE_CAT,56_THE_EAGLE_THE_WILD_SOW_AND_THE_CAT
Spider,Spider
42_THE_EAGLE_AND_THE_BEETLE,42_THE_EAGLE_AND_THE_BEETLE
Boreas,Boreas
165_EDUCATION,165_EDUCATION
71_THE_WOODMAN_AND_MERCURY,71_THE_WOODMAN_AND_MERCURY
mastiff,mastiff
230_THE_FOX_THE_WOLF_AND_THE_HORSE,230_THE_FOX_THE_WOLF_AND_THE_HORSE
95_THE_HEN_WITH_THE_GOLDEN_EGGS,95_THE_HEN_WITH_THE_GOLDEN_EGGS
202_THE_LIONESS_AND_SHEBEAR,202_THE_LIONESS_AND_SHEBEAR
monkey,monkey
Cupids,Cupids
Braggart,Braggart
Snail,Snail
Steed,Steed
pig,pig
89_THE_EARTHEN_POT_AND_THE_IRON_POT,89_THE_EARTHEN_POT_AND_THE_IRON_POT
Pig,Pig
Maiden,Maiden
birds,birds
Progne,Progne
hen,hen
170_THE_FRAUDULENT_TRUSTEE,170_THE_FRAUDULENT_TRUSTEE
Satyr,Satyr
rogue,rogue
Crane,Crane
Emperor,Emperor
120_THE_HORSE_AND_THE_ASS,120_THE_HORSE_AND_THE_ASS
235_THE_MADMAN_AND_THE_PHILOSOPHER,235_THE_MADMAN_AND_THE_PHILOSOPHER
207_THE_COMPANIONS_OF_ULYSSES,207_THE_COMPANIONS_OF_ULYSSES
Parrot,Parrot
Venus,Venus
Ass,Ass
owner,owner
Lucifer,Lucifer
Kite,Kite
203_THE_MERCHANT_THE_NOBLEMAN_THE_SHEPHERD_AND_THE_KINGS_SON,203_THE_MERCHANT_THE_NOBLEMAN_THE_SHEPHERD_AND_THE_KINGS_SON
Alcimadura,Alcimadura
28_THE_ASS_LADEN_WITH_SPONGES_AND_THE_ASS_LADEN_WITH_SALT,28_THE_ASS_LADEN_WITH_SPONGES_AND_THE_ASS_LADEN_WITH_SALT
94_THE_LABOURING_MAN_AND_HIS_CHILDREN,94_THE_LABOURING_MAN_AND_HIS_CHILDREN
Horse,Horse
Kid,Kid
little birds,little birds
